value
date
CN: GDP
CN: GDP: ytd
CN: Share to GDP Growth: ytd: Final Consumption Expenditure
CN: Share to GDP Growth: ytd: Gross Capital Formation
CN: Share to GDP Growth: ytd: Net Export of Goods and Service
CN: Consumer Price Index
CN: CPI: Core (excl. Food & Energy)
CN: Producer Price Index(PPI)
CN: Unemployment Rate: Urban Survey
CN: Unemployment Rate: 31-City Survey
CN: Employment: Urban: New Increased: ytd
CN: Leverage Ratio: Household
CN: Leverage Ratio: Non-financial Enterprise
CN: Leverage Ratio: General Government
CN: Leverage Ratio: Non-financial Sector
"CN: Purchasing Managers"" Index: Mfg"
CN: PMI: Mfg: Production
CN: PMI: Mfg: New Order
CN: PMI: Mfg: New Export Order
CN: PMI: Mfg: Backlog Order
CN: PMI: Mfg: Finished Goods Inventory
CN: PMI: Mfg: Purchases
CN: PMI: Mfg: Import
CN: PMI: Mfg: Purchasing Price Index
CN: PMI: Mfg: Producer Price Index
CN: PMI: Mfg: Raw Material Inventory
CN: PMI: Mfg: Employment
"CN: PMI: Mfg: Suppliers"" Delivery Time"
CN: PMI: Mfg: Production and Business Expectation
CN: PMI: Service: Business Activity
CN: PMI: Service: New Order
CN: PMI: Service: Input Price
CN: PMI: Service: Sales Price
CN: PMI: Service: Employment
CN: PMI: Service: Business Expectation
CN: PMI: Construction: Business Activity
CN: PMI: Construction: New Order
CN: PMI: Construction: Input Price
CN: PMI: Construction: Sales Price
CN: PMI: Construction: Employment
CN: PMI: Construction: Business Expectation
CN: Retail Sales of Consumer Goods
CN: Online Retail Sales: ytd: Goods and Service
CN: Taobao and Tmall Online Sales: Value
CN: Taobao and Tmall Online Sales: Volume
CN: Taobao and Tmall Online Sales: Product Average Price
CN: Industrial Enterprise: Sales Revenue: ytd
CN: Industrial Enterprise: Total Profit: ytd
CN: Industrial Enterprise: Inventory
CN: Industrial Capacity Utilization Rate
CN: Value Added of Industry: YoY(Real)
CN: Value Added of Industry: YoY: ytd(Real)
CN: Fixed Asset Investment: ytd
CN: FAI: ytd: Private
CN: Fixed Asset Investment: Approved Project: Investment Amount
CN: Transport: Freight Traffic
CN: Electricity Production
CN: Real Estate Inv: ytd
CN: Building Sold: ytd
CN: Floor Space Started: ytd: Commodity Bldg (CB)
